"NG_TH_ID","TH_ID","NG_ID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"NG01_TH01420","TH01420","NG01","AIDS","https://groups.google.com./g/net.med/c/JVvLCQ24_jc",1986-09-24,3,"netmed"
"NG01_TH01411","TH01411","NG01","AIDS posting","https://groups.google.com./g/net.med/c/x0t_ee4RnlE",1986-09-11,1,"netmed"
"NG01_TH01352","TH01352","NG01","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc",1986-03-12,12,"netmed"
"NG01_TH01259","TH01259","NG01","AIDS budget cut proposal","https://groups.google.com./g/net.med/c/vTrrcpv0RUA",1986-02-06,1,"netmed"
"NG01_TH01230","TH01230","NG01","AIDS Incidence in perspective","https://groups.google.com./g/net.med/c/1ARcUmBKZ10",1986-01-28,1,"netmed"
"NG01_TH01164","TH01164","NG01","On meeting someone with AIDS","https://groups.google.com./g/net.med/c/mjsT7OncThg",1986-01-03,1,"netmed"
"NG01_TH01157","TH01157","NG01","AIDS Research - Antiviral Drugs (Query)?","https://groups.google.com./g/net.med/c/zTIyZZtv2fA",1985-12-23,7,"netmed"
"NG01_TH01115","TH01115","NG01","Answer to AIDS questions","https://groups.google.com./g/net.med/c/5cgl9ZU_E2g",1985-12-03,6,"netmed"
"NG01_TH01079","TH01079","NG01","AIDS in Africa: a newspaper editorial","https://groups.google.com./g/net.med/c/GSscEgGnBcA",1985-11-16,2,"netmed"
"NG01_TH01071","TH01071","NG01","Scary thought about AIDS","https://groups.google.com./g/net.med/c/RjaQzfsldbQ",1985-11-12,5,"netmed"
"NG01_TH01030","TH01030","NG01","AIDS transmission (not easy to come by)","https://groups.google.com./g/net.med/c/RBVQ99n7o6I",1985-10-22,2,"netmed"
"NG01_TH01028","TH01028","NG01","AIDS: beyond high-risk groups","https://groups.google.com./g/net.med/c/0giK_GQ_-XY",1985-10-21,19,"netmed"
"NG01_TH01015","TH01015","NG01","Update on AIDS and Health Care Workers.","https://groups.google.com./g/net.med/c/Z4GcqGYKPfY",1985-10-16,2,"netmed"
"NG01_TH01001","TH01001","NG01","Politics of AIDS, of Foster Care","https://groups.google.com./g/net.med/c/NB_zOSZvP_E",1985-10-03,16,"netmed"
"NG01_TH00942","TH00942","NG01","Personal Revelation about AIDS","https://groups.google.com./g/net.med/c/fjV21T5IOmg",1985-09-06,1,"netmed"
"NG01_TH00875","TH00875","NG01","AIDS Transmission (Addendum)","https://groups.google.com./g/net.med/c/mOyXcZB48N8",1985-08-20,7,"netmed"
"NG01_TH00872","TH00872","NG01","Proof that AIDS can be transmitted by Semen","https://groups.google.com./g/net.med/c/82jkWkwWkyk",1985-08-20,1,"netmed"
"NG01_TH00865","TH00865","NG01","AIDS PREVENTABLE #2","https://groups.google.com./g/net.med/c/JvcFERwNcvU",1985-08-16,2,"netmed"
"NG01_TH00841","TH00841","NG01","AIDS IS PREVENTABLE","https://groups.google.com./g/net.med/c/xW4EgHYHk74",1985-08-11,5,"netmed"
"NG01_TH00833","TH00833","NG01","Bermuda Cancer (?) Clinic and AIDS","https://groups.google.com./g/net.med/c/M1rIC9IoLDg",1985-08-08,1,"netmed"
"NG01_TH00828","TH00828","NG01","AIDS in the news","https://groups.google.com./g/net.med/c/w2qGlAxh-X0",1985-08-08,2,"netmed"
"NG01_TH00823","TH00823","NG01","Poll reports fear of AIDS growing in US","https://groups.google.com./g/net.med/c/KbsYoEHnaFc",1985-08-05,1,"netmed"
"NG01_TH00785","TH00785","NG01","How AIDS virus foils immune system: new finding","https://groups.google.com./g/net.med/c/eO-cfvySmg4",1985-07-16,1,"netmed"
"NG01_TH00773","TH00773","NG01","The Age of AIDS","https://groups.google.com./g/net.med/c/iNn_68vSslQ",1985-07-07,6,"netmed"
"NG01_TH00744","TH00744","NG01","HLA-DR antibodies cause positive HTLV-3 test results.","https://groups.google.com./g/net.med/c/AbEsyZIkbz8",1985-06-11,2,"netmed"
"NG01_TH00729","TH00729","NG01","Anti-AIDS drugs promising.","https://groups.google.com./g/net.med/c/MzPyTU4bavw",1985-05-28,1,"netmed"
"NG01_TH00656","TH00656","NG01","2nd AIDS test approved","https://groups.google.com./g/net.med/c/0M-_CBUZnkI",1985-03-17,2,"netmed"
"NG01_TH00606","TH00606","NG01","Drug kills alleged AIDS virus in bloodstream","https://groups.google.com./g/net.med/c/6ZGvu0prxk0",1985-02-08,1,"netmed"
"NG01_TH00591","TH00591","NG01","A Lay question about AIDS?","https://groups.google.com./g/net.med/c/w7JFdB38ZDg",1985-01-29,6,"netmed"
"NG01_TH00585","TH00585","NG01","A Lay question about AIDS?","https://groups.google.com./g/net.med/c/gEsl-VtdE0s",1985-01-17,2,"netmed"
"NG01_TH00582","TH00582","NG01","AIDS 4: Epidemiology of AIDS (long, with data)","https://groups.google.com./g/net.med/c/0JFoaDkddfI",1985-01-15,1,"netmed"
"NG01_TH00575","TH00575","NG01","Test for exposure to AIDS","https://groups.google.com./g/net.med/c/G0h9guZRBWs",1985-01-08,4,"netmed"
"NG01_TH00573","TH00573","NG01","AIDS Receptor on White Cells","https://groups.google.com./g/net.med/c/xl3ebIaKFRQ",1985-01-02,1,"netmed"
"NG02_TH01070","TH01070","NG02","AIDS posting","https://groups.google.com./g/net.motss/c/x0t_ee4RnlE",1986-09-11,1,"netmotss"
